"Plot Title: Site3a, ID 4, 22332697"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332697, SEN S/N: 22332697)","Temp, °C (LGR S/N: 22332697, SEN S/N: 22332697)","Coupler Detached (LGR S/N: 22332697)","Coupler Attached (LGR S/N: 22332697)","Stopped (LGR S/N: 22332697)","End Of File (LGR S/N: 22332697)"
1,02/26/27 11:00:00 AM,94.080,3.893,Logged,,,
2,02/26/27 12:00:00 PM,94.016,3.893,,,,
3,02/26/27 01:00:00 PM,104.911,4.934,,,,
4,02/26/27 02:00:00 PM,104.716,4.934,,,,
5,02/26/27 03:00:00 PM,104.652,4.934,,,,
6,02/26/27 04:00:00 PM,104.522,4.934,,,,
7,02/26/27 05:00:00 PM,104.490,4.934,,,,
8,02/26/27 06:00:00 PM,104.506,4.934,,,,
9,02/26/27 07:00:00 PM,104.522,4.934,,,,
10,02/26/27 08:00:00 PM,104.554,4.934,,,,
11,02/26/27 09:00:00 PM,104.587,4.934,,,,
12,02/26/27 10:00:00 PM,104.587,4.934,,,,
13,02/26/27 11:00:00 PM,104.571,4.934,,,,
14,02/27/27 12:00:00 AM,104.554,4.934,,,,
15,02/27/27 01:00:00 AM,104.571,4.934,,,,
16,02/27/27 02:00:00 AM,104.571,4.934,,,,
17,02/27/27 03:00:00 AM,104.506,4.934,,,,
18,02/27/27 04:00:00 AM,104.506,4.934,,,,
19,02/27/27 05:00:00 AM,104.473,4.934,,,,
20,02/27/27 06:00:00 AM,104.522,4.934,,,,
21,02/27/27 07:00:00 AM,104.506,4.934,,,,
22,02/27/27 08:00:00 AM,104.506,4.934,,,,
23,02/27/27 09:00:00 AM,104.506,4.934,,,,
24,02/27/27 10:00:00 AM,104.457,4.934,,,,
25,02/27/27 11:00:00 AM,104.473,4.934,,,,
26,02/27/27 12:00:00 PM,104.457,4.934,,,,
27,02/27/27 01:00:00 PM,104.441,4.934,,,,
28,02/27/27 02:00:00 PM,104.425,4.934,,,,
29,02/27/27 03:00:00 PM,104.408,4.934,,,,
30,02/27/27 04:00:00 PM,104.360,4.934,,,,
31,02/27/27 04:33:25 PM,,,,Logged,,
32,02/27/27 04:33:29 PM,,,,,Logged,Logged
